Date,Close
1/2/2018,183.65
1/3/2018,184
1/4/2018,185.71
1/5/2018,190.7
1/8/2018,190.33
1/9/2018,190.8
1/10/2018,189.79
1/11/2018,188.75
1/12/2018,187.79
1/16/2018,182.4
1/17/2018,183.83
1/18/2018,184.4
1/19/2018,184.05
1/22/2018,184.02
1/23/2018,192.28
1/24/2018,195.53
1/25/2018,198.33
1/26/2018,205.22
1/29/2018,203.01
1/30/2018,199.66
1/31/2018,204.29
2/1/2018,192.22
2/2/2018,187.31
2/5/2018,180.53
2/6/2018,185.17
2/7/2018,180.3
2/8/2018,173.7
2/9/2018,176.67
2/12/2018,177.44
2/13/2018,179.25
2/14/2018,186.76
2/15/2018,187.45
2/16/2018,183.68
2/20/2018,187.19
2/21/2018,188.82
2/22/2018,188.75
2/23/2018,193.29
2/26/2018,194.19
2/27/2018,188.26
2/28/2018,186.14
3/1/2018,181.99
3/2/2018,179.76
3/5/2018,181.6
3/6/2018,187.37
3/7/2018,189.05
3/8/2018,187.18
3/9/2018,190.55
3/12/2018,192.74
3/13/2018,188.41
3/14/2018,192.56
3/15/2018,199.06
3/16/2018,200.28
3/19/2018,194.53
3/20/2018,198.95
3/21/2018,195.3
3/22/2018,184.65
3/23/2018,181.2
3/26/2018,190.5
3/27/2018,181.89
3/28/2018,178.91
3/29/2018,183.54
4/2/2018,177.61
4/3/2018,174.67
4/4/2018,172.07
4/5/2018,172.57
4/6/2018,167.52
4/9/2018,169.87
4/10/2018,177.1
4/11/2018,175.36
4/12/2018,175.92
4/13/2018,172.04
4/16/2018,174.7
4/17/2018,178.7
4/18/2018,182.68
4/19/2018,181.39
4/20/2018,179.11
4/23/2018,175.57
4/24/2018,173.09
4/25/2018,170.22
4/26/2018,173.9
4/27/2018,177.16
4/30/2018,178.54
5/1/2018,179.5
5/2/2018,181.45
5/3/2018,182.45
5/4/2018,188.89
5/7/2018,195.35
5/8/2018,196.31
5/9/2018,195.43
5/10/2018,195.96
5/11/2018,194.36
5/14/2018,198.64
5/15/2018,196.61
5/16/2018,198.11
5/17/2018,196.02
5/18/2018,195
5/21/2018,197.64
5/22/2018,195.87
5/23/2018,196.8
5/24/2018,197.37
5/25/2018,199.2
5/29/2018,198
5/30/2018,197.98
5/31/2018,198.01
6/1/2018,204.34
6/4/2018,208.95
6/5/2018,208.37
6/6/2018,208.3
6/7/2018,203.62
6/8/2018,205.07
6/11/2018,205.7
6/12/2018,209.08
6/13/2018,206.62
6/14/2018,210.86
6/15/2018,208
6/18/2018,208.57
6/19/2018,204.43
6/20/2018,206.23
6/21/2018,202.21
6/22/2018,202.01
6/25/2018,191.25
6/26/2018,191.42
6/27/2018,185.02
6/28/2018,188.38
6/29/2018,185.53
7/2/2018,186.36
7/3/2018,184.75
7/5/2018,186.88
7/6/2018,192.27
7/9/2018,192.75
7/10/2018,192.55
7/11/2018,187.42
7/12/2018,190.17
7/13/2018,190.04
7/16/2018,190.35
7/17/2018,192.66
7/18/2018,190.79
7/19/2018,187.34
7/20/2018,187.25
7/23/2018,187.04
7/24/2018,189
7/25/2018,197.98
7/26/2018,194.18
7/27/2018,189.42
7/30/2018,184.82
7/31/2018,187.23
8/1/2018,185.27
8/2/2018,182.6
8/3/2018,180.84
8/6/2018,178.62
8/7/2018,179.92
8/8/2018,177.52
8/9/2018,177.19
8/10/2018,180.01
8/13/2018,177.68
8/14/2018,172.53
8/15/2018,169.83
8/16/2018,171.99
8/17/2018,172.78
8/20/2018,176.29
8/21/2018,177.92
8/22/2018,177.85
8/23/2018,172.23
8/24/2018,174.23
8/27/2018,180.65
8/28/2018,178.19
8/29/2018,178.5
8/30/2018,174.6
8/31/2018,175.01
9/4/2018,170.44
9/5/2018,164.23
9/6/2018,159.87
9/7/2018,162.37
9/10/2018,156.36
9/11/2018,157.46
9/12/2018,161.46
9/13/2018,165.53
9/14/2018,164.74
9/17/2018,158.89
9/18/2018,156.65
9/19/2018,162.63
9/20/2018,165.88
9/21/2018,164.63
9/24/2018,163.16
9/25/2018,164.25
9/26/2018,165.4
9/27/2018,166.32
9/28/2018,164.76
10/1/2018,162
10/2/2018,160.23
10/3/2018,162.37
10/4/2018,156.13
10/5/2018,154.63
10/8/2018,151.14
10/9/2018,146.94
10/10/2018,138.29
10/11/2018,141.9
10/12/2018,147.29
10/15/2018,144.16
10/16/2018,149.6
10/17/2018,148.14
10/18/2018,142.02
10/19/2018,142.93
10/22/2018,148.8
10/23/2018,146.65
10/24/2018,139.61
10/25/2018,144.6
10/26/2018,142.87
10/29/2018,133.38
10/30/2018,136.33
10/31/2018,142.28
11/1/2018,151.25
11/2/2018,147.59
11/5/2018,144.64
11/6/2018,147.44
11/7/2018,152.5
11/8/2018,148.99
11/9/2018,144.85
11/12/2018,142.82
11/13/2018,146.98
